Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,IND,2014-09-07,354,2,54,1,2,259,102,27:36,Sun,1,1,@,DEN,L 24-31,35,53,18,66.0,2,2,3.8,3.8,83.1,3,16,5.36,6.7,6.32,5.74,5.43,10.1,32,3.2,1,22,36,61.1,3,1,10,0,110.8,14,3.9,408,70,5.83,69,5.23,2,3:13
2,IND,2014-09-15,172,3,169,0,2,331,127,36:15,Mon,2,2,,PHI,L 27-30,20,34,14,58.8,3,1,8.8,2.9,89.3,0,0,0.00,5.1,5.06,5.50,5.50,8.6,27,4.7,2,21,37,56.8,1,0,0,1,84.4,38,4.4,341,72,4.74,64,7.16,2,3:01
3,IND,2014-09-21,385,4,144,0,0,239,105,37:03,Sun,3,3,@,JAX,W 44-17,33,43,10,76.7,4,0,9.3,0.0,134.8,2,5,4.44,9.0,8.56,10.81,10.33,11.7,20,5.3,0,18,31,58.1,2,4,17,2,77.2,29,5.0,529,74,7.15,55,6.25,0,3:05
4,IND,2014-09-28,393,4,105,1,1,176,85,42:21,Sun,4,4,,TEN,W 41-17,29,41,12,70.7,4,1,9.8,2.4,123.3,0,0,0.00,9.6,9.59,10.44,10.44,13.6,16,5.3,1,14,28,50.0,1,3,18,2,52.1,41,2.6,498,82,6.07,47,5.55,1,3:11
5,IND,2014-10-05,305,1,127,1,4,197,90,38:43,Sun,5,5,,BAL,W 20-13,32,49,17,65.3,1,2,2.0,4.1,72.8,1,7,2.00,6.2,6.10,4.80,4.70,9.5,15,6.0,1,22,38,57.9,0,4,38,1,61.0,30,4.2,432,80,5.40,57,5.04,4,3:08
6,IND,2014-10-09,363,3,93,1,2,196,136,36:49,Thu,6,6,@,HOU,W 33-28,25,44,19,56.8,3,1,6.8,2.3,97.7,3,7,6.38,8.3,7.72,8.59,8.04,14.5,24,5.7,2,15,23,65.2,1,5,16,0,106.4,35,2.7,456,82,5.56,52,6.38,2,3:15
7,IND,2014-10-19,335,2,171,1,2,103,32,39:43,Sun,7,7,,CIN,W 27-0,27,42,15,64.3,2,0,4.8,0.0,105.7,2,9,4.55,8.0,7.61,8.93,8.52,12.4,12,2.7,0,18,38,47.4,0,4,23,0,54.1,34,5.0,506,78,6.49,54,2.50,2,3:06
8,IND,2014-10-26,385,3,63,1,2,522,117,20:17,Sun,8,8,@,PIT,L 34-51,26,45,19,57.8,3,2,6.7,4.4,91.0,2,15,4.26,8.6,8.19,7.89,7.55,14.8,32,3.7,0,40,49,81.6,6,0,0,0,150.6,10,6.3,448,57,7.86,81,7.89,2,3:31
9,IND,2014-11-03,345,4,98,0,0,349,89,33:03,Mon,9,9,@,NYG,W 40-24,25,46,21,54.3,4,0,8.7,0.0,108.4,1,9,2.13,7.5,7.34,9.24,9.04,13.8,20,4.5,1,27,52,51.9,2,3,10,0,86.1,24,4.1,443,71,6.24,75,5.84,0,3:23
10,IND,2014-11-16,303,2,19,0,1,257,246,25:39,Sun,10,11,,NWE,L 20-42,23,39,16,59.0,2,1,5.1,2.6,90.0,1,0,2.50,7.8,7.58,7.64,7.45,13.2,44,5.6,4,19,30,63.3,2,0,0,2,85.0,16,1.2,322,56,5.75,74,6.80,1,2:58
